相手	あいて	Opponent
決める	きめる	Decide
最も	もっとも	Most
合う	あう	Fit
睡眠	すいみん	Sleep
方法	ほうほう	Method
昼寝	ひるね	Nap
訳	わけ	Reason, Case
適当	てきとう	Suitable, Fit
行動	こうどう	Conduct
効果的	こうかてき	Effective, Successful
調査	ちょうさ	Investigation

筆者	ひっしゃ	Writer, Author
なんて		Such as
信じられない しんじられない	Unbelievable
商品	しょうひん	Commodity
購買	こうばい	Procurement, Purchase
理由	りゆう	Reason, Motive
発表	はっぴょう	Announcement, Presenting
怒る	おこる	Angry


活動	かつどう	Action, Activity
内容	ないよう	Subject、Content
企業	きぎょう	Enterprise, Business
別れる	わかれる	Separate
回答	かいとう	Reply, Answer
結果	けっか	Result, Outcome
理解	りかい	Understanding
書類	しょるい	Documents


社員	しゃいん	Company Employee
努力	どりょく	Great Effort
成功	せいこう	Success
面白い	おもしろい	Interesting
感じた	かんじた	Feeling, Impression
人間	にんげん	Human Being
植物	しょくぶつ	Plant
関係	かんけい	Relationship
変化	へんか	Change, Variation
職業	しょくぎょう	Occupation, Business
割合	わりあい	Rate, Ratio
失業率	しつぎょうりつ Unemployment rate


につれて		As X, Then Y
表現	ひょうげん	Expression, Representation
間違い	まちがい	Mistake, Error
数	かず	Number
他人	たにん	Another Person
相談	そうだん	Consultation
評価	ひょうか	Valuation, Estimation
基準	きじゅん	Standard, Basis


中学	ちゅうがく	Middle School
初め	はじめ	First time
頃	ころ	Time, About
友人	ゆうじん	Friend
覚える	おぼえる	Memorize
太陽	たいよう	Sun
登る	のぼる	To Climb
確認	かくにん	Confirmation
会話	かいわ	Conversation
技術	ぎじゅつ	Technology


経済	けいざい	Economics, Business
与える	あたえる	To give
巨額	きょがく	Great Sum
税金	ぜいきん	Tax, Duty
悩む	なやむ	To be worried
妻	つま	Wife, Spouse
約	やく	Approximately
釣り	つり	Fishing
実際	じっさい	Practically, Practical
教育	きょういく	Training, Education
社会	しゃかい	Society, Public
効果	こうか	Effect, Effectiveness


国民	こくみん	Nationality, people
関心	かんしん	Concern, Interest
調べる	しらべる	To examine, investigate
代　	だい	Counter for decade of age
将来	しょうらい	Future
人生	じんせい	Human life
目的	もくてき	Purpose, Goal
健康	けんこう	Health
学ぶ	まなぶ	Study, learning
まね		Imitating
大事	だいじ	Important, Valuable


